Province|Municipality|Address|Landline|Fax|Email|||||
Southern Leyte|Municipality of San Francisco||Tel: (053) 328-1237 / 0917-6673114|||||||
Southern Leyte|Municipality of San Juan||Tel: 0916-6435042|||||||
Southern Leyte|Municipality of San Ricardo||Tel: 0917-5700656|||||||
Southern Leyte|Municipality of Silago||Tel: 0917-3087206|||||||
Southern Leyte|Municipality of Sogod||Tel: (053) 382-3065; 0917-7206452/ 382-2628||lydz0327.lv@gmail.com|||||
Southern Leyte|Municipality of Tomas Oppus||Tel: 0917-6335018|||||||
|Provincial Government of Ilocos Norte|Office of the Governor, Provincial Capitol, Barangay 10 J.P. Rizal St. , 2900 Laoag City|Tel:    (077) 770-3966 ;              (077) 772-1211 loc 123;                            (077)771-4499;                        2|Fax: (077) 770-3966                  (077) 772-1772;                       (077) 770-3967|ilocosnorte.mediabureau@gmail.com; pgin.media@gmail.com|||||
Ilocos Norte|Municipality of Adams||Tel: 0908-881-8010||adamsview_eric@yahoo.com.ph|||||
Ilocos Norte|Municipality of Bacarra||Tel: (077) 670-3100|Fax: (077) 670-3265||||||
Ilocos Norte|Municipality of Badoc||Telefax: (077) 670-0293 / 077-7943091|Tel: (077) 670-0293||||||
Ilocos Norte|Municipality of Bangui||Tel: 0917-8315544 / 794-3020/676-0711|||||||
Ilocos Norte|Municipality of Banna (Espiritu)||Tel: (077) 786-6062 / 09209005781|TeleFax: (077) 676-0619||||||
Ilocos Norte|City of Batac|Office of the Mayor, Washington St., Brgy. #1-S Valdez, City of Batac, Ilocos Norte|Tel: (077) 792-3135 ;|(077) 792-3441|lovebatac@gmail.com  citymayor@batac.gov.ph|||||
Ilocos Norte|Municipality of Burgos||Tel: 0928-5510452 / 077 786 1408|||||||
Ilocos Norte|Municipality of Carasi||0926-95955770|||||||
Ilocos Norte|Municipality of Currimao||Tel: (077) 670-1301||lgucurrimao@yahoo.com|||||
Ilocos Norte|Municipality of Dingras||Tel: (077) 600-0157||dingrasagdiag@yahoo.com|||||
Ilocos Norte|Laoag City (Capital)|Office of the Mayor, Laoag City Hall, Brgy 10, Tupaz Street, 2900 Laoag City|Tel: 077 772-0001 loc. 215|F: 077 771 3668|mvflaoag@hotmail.com|||||
Ilocos Norte|Municipality of Marcos||Tel: 077-784-7993/784-7955|TeleFax: (077) 784-7993||||||
Ilocos Norte|Municipality of Nueva Era||Tel: 0917-5777447||garvida_aldrin@yahoo.com|||||
Ilocos Norte|Municipality of PagudPud||Tel: 0917-5225100 / 077-6761350|||||||
Ilocos Norte|Municipality of Paoay|Office of the Mayor, Municipal Hall, Paoay, Ilocos Norte|773-2561; (077) 772-1100 /  (077) 793-20-54/793-22-22|793-2222 (Fax)||||||
Ilocos Norte|Municipality of Pasuquin||Tel: (077) 670-0189 / (077) 775-00-37|Telefax: (077) 775-0037 |fdaguinaldo@yahoo.com|||||
Ilocos Norte|Municipality of Piddig||Tel : (077) 676-0509 / 794-10-20 / 794-10-64||lgu_piddig@yahoo.com|||||
Ilocos Norte|Municipality of Pinili||Tel: (077) 676-1159 / 077-794-1020|Telefax: 794-1020||||||
Ilocos Norte|Municipality of San Nicolas|Office of the Mayor, Municipal Hall,  Brgy 3 San Ildefonso, San Nicolas, Ilocos Norte|Telefax: (077) 773-2305 |TeleFax :(077) 773-2305|sannicolasilocosnorte@yahoo.com|||||
Ilocos Norte|Municipality of Sarrat||Telefax: (077) 782-8066|Telefax: (077) 782-8066|lgu_sarat@ymail.com|||||
Ilocos Norte|Municipality of Solsona||Tel: (077) 784-6020 / 077-7846001|Telefax: (077) 782-6031||||||
Ilocos Norte|Municipality of Vintar||Tel: (077) 670-5273|Telefax: (077) 670-5272||||||
|Provincial Government of Ilocos Sur|Provincial Capitol, 2700 Vigan, Ilocos Sur|Tel: (077) 722-2776/ 722-7047/722-7163|Telefax:(077) 722-2776||||||
Ilocos Sur|Municipality of Alilem||Tel: 0939-2610186||lgu_alilem@yahoo.com|||||
Ilocos Sur|Municipality of Banayoyo||Tel: (077)742-5656 / 077-7425793|Fax: (077)742-5657||||||
Ilocos Sur|Municipality of Bantay||Tel: (077) 722-8006 / 7223232/722-3235|Telefax: (077) 722-8186||||||
Ilocos Sur|Municipality of Burgos||Tel: 0906-3687093 / 077-6730533||lgu.burgosilocossur@yahoo.com|||||
Ilocos Sur|Municipality of Cabugao||Tel: 077-7285210 / 0917-596775||cabugao_lgu@yahoo.com|||||
Ilocos Sur|City of Candon ||Tel: (077)742-6136; (077)742-6681; (077)742-6585|Fax:||||||
Ilocos Sur|Municipality of Caoayan||Telefax: (077) 722-2077 / 077-7226099|||||||
Ilocos Sur|Municipality of Cervantes||Tel: 0919-8393088||benjah1018@yahoo.com|||||
Ilocos Sur|Municipality of Galimuyod||Tel: (077)742-6857 / 7426816|| jbalingsat@yahoo.com;  jbalingsat@yahoo.com|||||
Ilocos Sur|Municipality of Gregorio del Pillar|||||||||
Ilocos Sur|Municipality of Lidlidda||Tel.: 077-742-6994||lidlidailocossur@yahoo.com|||||
Ilocos Sur|Municipality of Magsinhal||Tel: (077) 726-3519 ; (077) 726-3716|||||||
Ilocos Sur|Municipality of Nagbukel||Tel: 0917-5683166|||||||
Ilocos Sur|Municipality of Narvacan||Telefax:(077)732-5739|||||||
Ilocos Sur|Municipality of Quirino (Angkaki)||Tel:0999-863-3863 / 0999-8845030|||||||
Ilocos Sur|Municipality of Salcedo||Tel:0927-3783147||mayorsoffice2711@yahoo.com|||||
Ilocos Sur|Municipality of San Emilio||Tel: (077)742-5136|||||||
Ilocos Sur|Municipality of San Esteban||Tel: 0917-822-6047||cae513@yahoo.com|||||
Ilocos Sur|Municipality of San Ildefonso||Tel: (077) 726-4068|||||||
Ilocos Sur|Municipality of San Juan||Tel: (077)728-2020; (077)728-2120|||||||
Ilocos Sur|Municipality of San Vicente||"Tel: (077) 722-4752 / 077-7228324
 "|||||||
Ilocos Sur|Municipality of Santa||Tel: (077)725-5052; |Fax: (077)725-5510||||||
Ilocos Sur|Municipality of Santiago||Tel: 0927-3139782|||||||
Ilocos Sur|Municipality of Sigay||Tel: 077-742-5098 / 0915-600-5495|||||||
Ilocos Sur|Municipality of Sinait||Tel: (077)742-3037 / 077-7288126|Telefax: 728-8129||||||
Ilocos Sur|Municipality of Sta. Catalina||Tel: (077)722-8422 / 077-7225151|Telefax:(077)722-5151||||||
Ilocos Sur|Municipality of Sta. Cruz||Telefax : (077)742-3037 /  077-6747104|||||||
Ilocos Sur|Municipality of Sta. Lucia||Telefax: (077)742-6904|||||||
Ilocos Sur|Municipality of Sta. Maria||Tel: (077) 732-5544 ; |Telefax: (077)732-5509||||||
Ilocos Sur|Municipality of Sto. Domingo||Telefax: (077) 726-4036|||||||
Ilocos Sur|Municipality of Sugpon||Tel: 0915-2145583/ 0915-644-4638||fquintonsr@yahoo.com|||||
Ilocos Sur|Municipality of Suyo||Tel 0909-745-4104||lgusuyo@yahoo.com|||||
Ilocos Sur|Municipality of Tagudin||Tel (077) 652-1740|Telefax: (077)652-11680||||||
Ilocos Sur|Vigan City (Capital)||(077) 722-2466   (077) 722-3838  ||admin@viganMunicipality.gov.ph|||||
|Provincial Government of La Union|Provincial Capitol, 2500 San Fernando, La Union|Tel: (072)888-6035|Fax: (072) 888-4453  |webmaster@launion.gov.ph|||||
La Union|Municipality of Agoo||Telefax: (072) 607-2184 / (072) 710-0241 / 710-1865|||||||
La Union|Municipality of Aringay||Telefax: (072) 607-9531|||||||
La Union|Municipality of Bacnotan||Telefax: (072) 607-4261 / 719- 0100|||||||
La Union|Municipality of Bagulin||Tel: 0917-5400843 / 09175640073|||||||
La Union|Municipality of Balaoan||Telefax: (072) 607-0069 / 794-2020|||||||
La Union|Municipality of Bangar||Telefax: (072) 607-2088|||||||
La Union|Municipality of Bauang||Telefax: (072) 607-1721 / 607-7524 / 705-1102|Fax: (072) 705-1102||||||
La Union|Municipality of Burgos||Tel: 0919-877-8076 / 09205888484|||||||
La Union|Municipality of Caba||Telefax: (072) 708-0117|||||||
La Union|Municipality of Luna||Telefax: (072) 607-1132 |||||||
La Union|Municipality of Naguilian||Telefax: (072) 609-1135 /  (072) 609-1266|||||||
La Union|Municipality of Pugo||Tel: 09205410478/ 0917-579-0025|||||||
La Union|Municipality of Rosario||Telefax: (072) 687-0309 / (072) 712-1171 / 712-0248|||||||
La Union|San Fernando City  (Capital) ||Tel: (072) 888-6901 to 06                     Telefax: (072) 888-6907|||||||
La Union|Municipality of San Gabriel||Tel: (072) 687-0125|||||||
La Union|Municipality of San Juan||Tel: (072) 607-4804 / 242-5650 / 720-0122|Fax: (072) 242-3442||||||
La Union|Municipality of Sto. Tomas||Telefax: (072) 710-1532|||||||
La Union|Municipality of Santol||Tel: (072) 603-0154|||||||
La Union|Municipality of Sudipen||Telefax: (072) 607-3088||lgu.sudipen@yahoo.com|||||
La Union|Municipality of Tubao||Telefax: (072) 528-4038|||Provincial Government of Pangasinan|Provincial Capitol, 2401 Lingayen, Pangasinan|Tel: (075) 542-6438, 542-3578 ; (075) 542-6013|Telefax: (075) 5426-012 (check)|pangasinanpio@gmail.com
Pangasinan|Municipality of Agno||Tel: (075) 557-2007 / 5572122|Fax: (075) 557-2124||||||
Pangasinan|Municipality of Aguilar||Tel: 0917-508-0267||LGUAGUILAR_METB@yahoo.com|||||
Pangasinan|City of Alaminos|Quezon Avenue, Poblacion, Alaminos City, 2404 Pangasinan, Philippines|Tel: (075) 551-6449|Telefax: (075) 551-6449|info@alaminoscity.gov.ph|||||
Pangasinan|Municipality of Alcala||Tel: (075) 593-3012|Telefax: (075) 593-3803||||||
Pangasinan|Municipality of Anda||Telefax: (075) 557-5012|||||||
Pangasinan|Municipality of Asingan||Tel: (075) 563-2932|Fax: (075) 611-1892||||||
Pangasinan|Municipality of Balungao||Telefax: (075) 583-8421|||||||
Pangasinan|Municipality of Bani||Tel: (075) 553-2401 ; |||||||
Pangasinan|Municipality of Basista||Tel: (075) 505-2136|Fax: (075) 505-2130||||||
Pangasinan|Municipality of Bautista||Telefax: (075) 592-3408|||||||
Pangasinan|Municipality of Bayambang||Telefax: (075) 592-2030|||||||
Pangasinan|Municipality of Binalonan||Tel: 0917-592-0433/office: 075-562-3611|||||||
Pangasinan|Municipality of Binmaley||Telefax: (075) 543-3943|||||||
Pangasinan|Municipality of Bolinao||Telefax: (075) 544-4054; (075) 554-2460; (075) 544-2392|||||||
Pangasinan|Municipality of Burgos||Tel: (075) 555-5221|Telefax: (075) 555-5100||||||
Pangasinan|Municipality of Calasiao||Telefax: (075) 529-2523|||||||
Pangasinan|Dagupan City ||Tel: (075) 515-4343|Fax: (075) 522-2754||||||
Pangasinan|Municipality of Dasol||Tel: (075) 560-2157|||||||
Pangasinan|Municipality of Infanta||Tel: 0918-962-2783|||||||
Pangasinan|Municipality of Labrador||Tel: (075) 549-5202|Fax: 549-5150||||||
Pangasinan|Municipality of Laoac||Tel: (075) 560-2377|Telefax: (075) 560-2388||||||
Pangasinan|Lingayen City (Capital)|||||||||
Pangasinan|Municipality of Mabini||Tel: (075) 555-1149|Telefax: (075) 555-1170||||||
Pangasinan|Municipality of Malasiqui||Tel: (075) 536-5343|||||||
Pangasinan|Municipality of Manaoag||Telefax: (075) 529-0301|||||||
Pangasinan|Municipality of Mangaldan||Tel: (075) 513-5467|Telefax: (075) 523-3057||||||
Pangasinan|Municipality of Mangatarem||Tel: (075) 546-2535; |Telefax: (075) 546-5509||||||
Pangasinan|Municipality of Mapandan||Telefax: (075) 632-1757|||||||
Pangasinan|Municipality of Natividad||Telfax: (075) 578-2278|||||||
Pangasinan|Municipality of Pozzorubio||Tel: (075) 632-1305|Fax: (075) 566-7015|ompozorrubio@yahoo.com|||||
Pangasinan|Municipality of Rosales||Tel: (075) 582-3454|Telefax:(075) 582-7075||||||
Pangasinan|San Carlos City||Tel: (075) 634-1273|Telefax: (075) 532-4761||||||
Pangasinan|Municipality of San Fabian||Tel: (075) 511-2568; |Telefax: (075) 511-3326||||||
Pangasinan|Municipality of San Jacinto||Telefax: (075) 653-1947|||||||
Pangasinan|Municipality of San Manuel||Tel: (075) 565-3839|Telefax: (075) 565-3258||||||
Pangasinan|Municipality of San Quintin||Tel: (075) 575-6085 ; (075) 575-2735|||||||
Pangasinan|Municipality of Santa Barbara||Tel: (075) 518-4305; (075) 518-2622|||||||
Pangasinan|Municipality of Santa Maria||Telefax: (075) 574-2283|||||||
Pangasinan|Municipality of Santo Tomas||Tel: (075) 578-5048|Telefax: (075) 578-5040||||||
Pangasinan|Municipality of Sison||Tel: (075) 567-2661|Telefax: (075) 567-2617||||||
Pangasinan|Municipality of Sual||Telefax: (075) 548-8031|||||||
Pangasinan|Municipality of Tayug||Tel: (075) 572-2954; (075) 572-2816|||||||
Pangasinan|Municipality of Umingan||Tel: (075) 576-5131|Telefax: (075) 576-5196||||||
Pangasinan|Municipality of Urbiztondo||Tel: (075) 594-2000|Telefax: (075) 594-3223||||||
Pangasinan|City of Urdaneta|Urdaneta City, Pangasinan, 2428|Tel: (075) 522-0142||urdanetacitygov@gmail.com; bobomperez@yahoo.com|||||
Pangasinan|Municipality of Villasis||Telefax: (075) 564-4009|||||||
|Provincial Government of Cagayan|Provincial Capitol, Capitol Hills, 3500 Tuguegarao, Cagayan|Tel: (078)304-0083  ||gov_cagayan@yahoo.com|||||
Cagayan|Municipality of Abulug||Tel: (078) 862-1008||sabbunalwin@yahoo.com|||||
Cagayan|Municipality of Alcala||Tel.: (078) 848-1050||criselda.antonio@yahoo.com|||||
Cagayan|Municipality of Allacapan||Tel.: (078) 855-1002||rommelursua@yahoo.com|||||
Cagayan|Municipality of Amulung||Tel.: 0917-8953553||nick_deleon09@yahoo.com|||||
Cagayan|Municipality of Aparri||Tel.: (078) 822-8752||lguappariphil@yahoo.com|||||
Cagayan|Municipality of Baggao||Tel.: (078) 844-2186; (078)824-8566||baggaocagayan@gmail.com|||||
Cagayan|Municipality of Ballesteros||Tel.: (078) 862-3014|||||||
Cagayan|Municipality of Buguey||Tel.: (078) 372-0783||lgubuguey@ymail.com|||||
Cagayan|Municipality of Calayan||Tel.: 0919-9317819|||||||
Cagayan|Municipality of Claveria||Telefax: (078) 866-1002|||||||
Cagayan|Municipality of Enrile||Tel: (078)372-0050|||||||
Cagayan|Municipality of Gattaran||Tel.: (078) 396-0134||municipalityofgattaran@yahoo.com|||||
Cagayan|Municipality of Gonzaga||Tel.: 0917-5274644||cfpj2010@yahoo.com|||||
Cagayan|Municipality of Iguig||Tel.: 0915-8265118|||||||
Cagayan|Municipality of Lallo||Tel.: (078) 854-4007|||||||
Cagayan|Municipality of Lasam||Tel.: (078) 853-3003||lasam_cagayan@yahoo.com|||||
Cagayan|Municipality of Pamplona||Tel.: (078) 824-8570|||||||
Cagayan|Municipality of Penablanca||Tel.:  (078) 304- 0399|(078) 304-6254|mayor_marilyn@yahoo.com|||||
Cagayan|Municipality of Piat||Tel.: 0906-5818565||halasamira10@gmail.com|||||
Cagayan|Municipality of Rizal|||||||||
Cagayan|Municipality of Sanchez-Mira||Tel.: (078) 822-9303|||||||
Cagayan|Municipality of Solana||Tel.: (078) 501-0636||lgusolanacag@yahoo.com|||||
Cagayan|Municipality of St. Ana||Tel.: (078) 858-1004||sta.ana_datgov@yahoo.com|||||
Cagayan|Municipality Sta. Praxedes||Tel.: 0920-9192438|||||||
Cagayan|Municipality Sta. Teresita||Tel.: (078) 824-8565|||||||
Cagayan|Municipality of Sto. Nino||Tel.: (078) 824-8565|||||||
Cagayan|Municipality of Tuao||Tel.: (078) 826-2048||lgutuao@yahoo.com|||||
Cagayan|Tuguegarao City||Tel:(078) 304-1114; (078) 304-0230|||||||
|Provincial Government of Batanes||09474045038 (secretary)|||||||
Batanes|Basco City (Capital)||Tel.: 0918-5666968; 0999-945446|||||||
Batanes|Municipality of Itbayat||Tel.: 0919-9640559|||||||
Batanes|Municipality of Ivana|||||||||
Batanes|Municipality of Mahatao|||||||||
Batanes|Municipality of Sabtang|||||||||
Batanes|Municipality of Uyugan|||||||||
|Provincial Government of Isabela|Provincial Capitol, 3300 Ilagan, Isabela|078 652 2463 (Telefax)||marlongamboa092189@gmail.com|||||
Isabela|Municipality of Alicia||Tel: (078) 622-7339|Telefax: (078) 662-7042||||||
Isabela|Municipality of Angadanan||Tel: (078) 694-1015||lguangadananisabela@yahoo.com|||||
Isabela|Municipality of Aurora||Tel: (078) 664-6008;  (078) 664-6010|||||||
Isabela|Municipality of Benito Soliven||Tel.: (078) 622-2040||aldrinmalabada@yahoo.com|||||
Isabela|Municipality of Burgos||Tel.: (078) 522-1501|||||||
Isabela|Municipality of Cabagan||Tel.: (078) 636-3124|||||||
Isabela|Municipality of Cabatuan||Tel.: (078) 664-8008|||||||
Isabela|Cauayan City||Telefax: (078) 652-2017||bernanrdfdy@gmail.com|||||
Isabela|Municipality of Cordon||Tel.: (078) 694-9001|||||||
Isabela|Municipality of Delfin Albano||Tel.: (078) 353-0203|||||||
Isabela|Municipality of Dinapigue||Tel.: (078) 672-0002|||||||
Isabela|Municipality of Divilacan||Tel.: 0920-9198730|||||||
Isabela|Municipality of Echague||Tel.: (078) 305-9601||melinda_kiat@yahoo.com|||||
Isabela|Municipality of Gamu||Tel.: (078) 654-3004|||||||
Isabela|Ilagan City (Capital)||Tel: (078) 624-2233 ; (078) 078-0876|||||||
Isabela|Municipality of Jones||Tel.: (078) 644-3000|||||||
Isabela|Municipality of Luna||Tel.: (078) 622-1394|||||||
Isabela|Municipality of Maconacon||Tel.: 0918-6322898|||||||
Isabela|Municipality of Mallig||Tel.: (078) 642-8085|||||||
Isabela|Municipality of Naguilian||Tel.: (078) 622-1121|||||||
Isabela|Municipality of Palanan||Tel.: (078) 652-1061|||||||
Isabela|Municipality of Quezon||Tel.: (078) 622-2037|||||||
Isabela|Municipality of Quirino||Tel.: (078) 622-2025||paraguisonmelita@yahoo.com|||||
Isabela|Municipality of Ramon||Tel.: (078) 859-2166|||||||
Isabela|Municipality of Reina Mercedes||Tel.: (078) 654-1007; (078) 622-2039|||||||
Isabela|Municipality of Roxas||Tel.: (078) 642-8085||lgu.roxas@yahoo.com|||||
Isabela|Municipality of San Agustin||Tel.: (078) 622-2032|||||||
Isabela|Municipality of San Guillermo||Tel.: (078) 622-2028|||||||
Isabela|Municipality of San Isidro||Tel.: (078) 622-2030|||||||
Isabela|Municipality of San Manuel||Tel.: (078) 664-6056|||||||
Isabela|Municipality of San Mariano||Tel.: (078) 652-7026; (078) 652-7020|||||||
Isabela|Municipality of San Mateo||Tel.: (078) 661-2603|||||||
Isabela|Municipality of San Pablo||Tel.: (078) 501-0973|||||||
Isabela|City of Santiago||Telefax: (078) 682-8110   ||santiagocity@gmail.com|||||
Isabela|Municipality of Sta. Maria||Tel.: (078) 622-2941|||||||
Isabela|Municipality of Sto.Tomas||Tel.: (078) 622-2043|||||||
Isabela|Municipality of Tumauini||Telefax: (078) 323-0293|||||||
|Provincial Government of Nueva Vizcaya|Provincial Executive Building, 3700 Bayombong, Nueva Vizcaya|Tel: (078) 805-7955 ; (078) 805-5162|(078) 321-2758|E: governor@nuevavizcaya.gov.ph|||||
Nueva Vizcaya|Municipality of Alfonso Castaneda||Tel: (078) 418-0101 |||||||
Nueva Vizcaya|Municipality of Ambaguio||Tel: (078) 321-3268||lgu_ambaguio1966@yahoo.com|||||
Nueva Vizcaya|Municipality of Aritao||Tel: (078) 322-1025|| m_aritao@yahoo.com|||||
Nueva Vizcaya|Municipality of Bagabag||Tel: (078) 332-2020 ; (078) 332-2158||sevillenajohnny@yahoo.com.ph|||||
Nueva Vizcaya|Municipality of Bambang||Tel: (078) 321-3074|||||||
Nueva Vizcaya|Municipality of Bayombong (Capital) ||Tel: (078) 321-2113   (078) 321-2554|||||||
Nueva Vizcaya|Municipality of Diadi||Tel: (078) 321-2110|||||||
Nueva Vizcaya|Municipality of Dupax Del Norte||Tel: (078) 808-0263||lgu_dupaxdelnorte@yahoo.com|||||
Nueva Vizcaya|Municipality of Dupax Del Sur||Tel: (078) 808-1035 ; (078) 808-1038|||||||
Nueva Vizcaya|Municipality of Kasibu||Tel: 0917-574-8478|||||||
Nueva Vizcaya|Municipality of Kayapa||Tel: (078) 805-9288; (078) 321-2488||jonbalasya@yahoo.com|||||
Nueva Vizcaya|Municipality of Quezon||Tel: (078) 805-9248 |||||||
Nueva Vizcaya|Municipality of Santa Fe||Tel: (078) 299-1162||mlgusantafenv18@gmail.com|||||
Nueva Vizcaya|Municipality of Solano||Tel: (078) 326-5225|||||||
Nueva Vizcaya|Municipality of Villa Verde||Tel: (078) 805-9221 ; (078) 321-2021|||||||
|Provincial Government of Quirino|Provincial Capitol, Capital Hills, 3400 Cabarruguis, Quirino|63 917 5721358 Tel: (078)692-5088|Fax: (078) 692-5011||||||
Quirino|Municipality of Aglipay||Tel: (078) 692-5193|||||||
Quirino|Municipality of Cabarroguis (Capital)||Tel: (078) 692-5005   (078) 692-5099|||||||
Quirino|Municipality of Diffun||Tel: (078) 694-7051|||||||
Quirino|Municipality of Maddela||Tel: (078) 682-4065|| mmo_lgu_maddela@yahoo.com|||||
Quirino|Municipality of Nagtipunan|||||||||
Quirino|Municipality of Saguday||Tel: (078) 692-5102|||||||
|Provincial Government of Aurora|Provincial Capitol, Brgy.Suklayin, Baler, 3200 Aurora|Tel: (042) 209-4211/ ; (042) 209-4433 / 0927-326-9137 /||info@aurora.gov.ph|||||
Aurora|Municipality of Baler (Capital)||Tel: (042) 722-0067;(042) 209-4287||pandusv@yahoo.com|||||
Aurora|Municipality of Casiguran||Tel: 0918-850-7425 / 0908-485-9699||zenygalban@yahoo.com|||||
Aurora|Municipality of Dilasag||Tel: 0919-461-9980|||||||
Aurora|Municipality of Dinalungan||Tel: 0908-872-1605||tito_tubigan@yahoo.com|||||
Aurora|Municipality of Dingalan||Tel: 0929-481-5446||dinzalamplanning@yahoo.com|||||
Aurora|Municipality of Dipaculao||||info@dipaculao-aurora.gov.ph|||||
Aurora|Municipality of Marian Aurora||Tel: 0926-753-7067|||||||
Aurora|Municipality of San Luis||Tel: 0920-950-4283|||||||
|Provincial Government of Bataan|Provincial Capitol, 2100 Balanga, Bataan|T/F: (047) 237-2413|T/F: (047) 237-2413||||||
Bataan|Municipality of Abucay||Telefax: (047) 237-5766||tetah_11@yahoo.com|||||
Bataan|Municipality of Bagac|||||||||
Bataan|City of Balanga (Capital) ||Tel: (047) 237-3510; (047) 237-2969 ; (047) 237-1837|||||||
Bataan|Municipality  of Dinalupihan||Tel: (047) 636-1202; (047) 636-1204||arcysamson06@yahoo.com.ph|||||
Bataan|Municipality of Hermosa||Tel: (047) 491-4086|||||||
Bataan|Municipality of Limay||Tel: (047) 244-5088 ;(047) 244-7177; (047) 244-0611; 244-4023|||||||
Bataan|Municipality of Mariveles||Telefax: (047) 935-4620 ; Tel: (047) 935-5274 ; 935-6639 ; 352-3433||oloms_education@yahoo.com|||||
Bataan|Municipality of Morong||Tel: 0918-917-6453|||||||
Bataan|Municipality of Orani||Tel: 0917-576-1698||mayorbenjie@yahoo.com|||||
Bataan|Municipality of Orion||Tel: (047) 244-6024 ; (047) 244-7940; (047) 244-9611 [local:100]||tony8pep@yahoo.com|||||
Bataan|Municipality of Pilar||Tel: (047) 237-4564;(047) 237-4564 ; (047) 2372768 [local:101]|Telefax: 0472374564|www.pilar-bataan.com|||||
Bataan|Municipality of Samal||Tel: (047) 451-7950 ; (047) 451-2250|Telefax: (047) 451-1348||||||
|Provincial Government of Bulacan|Provincial Capitol, 3000 Malolos, Bulacan|Tel: (044) 791 8148 to 50|(044)791-0853 or 791-8150|cesarvillanueva@bulacan.gov.ph|||||
Bulacan|Municipality of Angat||Tel: (044) 671-1669||lesliebautista@yahoo.com|||||
Bulacan|Municipality of Balagtas||Tel: (044) 693-2242 ; (044)693- 4321||mayorsoffice@rocketmail.com|||||
Bulacan|Municipality of Baliuag||Tel: 0915-203-3778 ; (044)7662224; 6737725||carol_dellosa@gmail.com|||||
Bulacan|Municipality of Bocaue||Tel: 0917-516-1055; (044)692-1823||jonvillanueva@yahoo.com|||||
Bulacan|Municipality of Bulakan||Tel: (044) 792-1610; (044) 792-0745|||||||
Bulacan|Municipality of Bustos||Tel: 0917-880-5565||bustosbulacan@gmail.com|||||
Bulacan|Municipality of Calumpit ||Tel: (044) 202-4263|||||||
Bulacan|Municipality of Dona Remedios Trinidad||Tel: 0915-148-8434||ronaldoflores@yahoo.com|||||
Bulacan|Municipality of Guiguinto||Tel: (044)794-0543 [loc. 232]||mayorsoffice@yahoo.com ; banjo_estrella@yahoo.com|||||
Bulacan|Municipality of Hagonoy||Tel: (044) 793-0530 ; (044) 794 1820|Telefax: (044) 793-0016||||||
Bulacan|City of Malolos (Capital)|City Government Bldg., Poblacion, City of Malolos, Bulacan|Tel: (044) 662 6092 ; (044) 791-6092; (044) 791-6608(044) 791-5943||malolossp@gmail.com|||||
Bulacan|Municipality of Marilao||Tel: 0927-232-1499; (044)711-3144||andrefaviansantos@yahoo.com|||||
Bulacan|City of Meycauayan||Telefax: (044) 258-1008||VMMANZANO@yahoo.com|||||
Bulacan|Municipality of Norzagaray||Tel: (044) 694-7950; (044) 694-1715 ; (044) 694- 1566|||||||
Bulacan|Municipality of Obando||Tel: 0917-871-4886||bagong_obando2013@yahoo.com|||||
Bulacan|Municipality of Pandi||Tel: (044) 797-0043||alkalde_2010@yahoo.com|||||
Bulacan|Municipality of Paombong||Tel: (044) 685-1522 ; (044) 665-7950; (044) 796-2005|||||||
Bulacan|Municipality of Plaridel||Tel: (044) 795-0365 ; (044) 795-0366|||||||
Bulacan|Municipality of Pulilan||Tel: (044) 769-0645||maygrace_paraiso@gmail.com|||||
Bulacan|Municipality of San Ildefonso||Tel: (044) 677-1929; (044) 677-1709 ; (044) 677-1790|||||||
Bulacan|City of San Jose del Monte||0448152136 (Mayor's office)|(044) 8156469|csjdm_blac_secretariat@yahoo.com.ph|||||
Bulacan|Municipality of San Miguel||Tel: 0917-542-4222||marivee_coronel@yahoo.com|||||
Bulacan|Municipality of San Rafael||Tel: (044) 761-5557 |||||||
Bulacan|Municipality of Sta. Maria||Tel: (044) 641-5629||itc-stamaria@yahoo.com|||||
|Provincial Government of Nueva Ecija|Provincial Capitol, 3100 Cabanatuan City, Nueva Ecija/Provincial Capitol, Singalat 3132 Palayan City|Tel: (044) 940-5061 loc. 808/880|(044) 958-1778|lgu.nuevaecija@gmail.com ; lgunueva@gmail.com|||||
Nueva Ecija|Municipality of Aliaga||Tel: (044) 945-0001|||||||
Nueva Ecija|Municipality of Bongabon||Tel: (044) 961-0229 ; (044) 958-1303 ; (044) 958-127|||||||
Nueva Ecija|Cabanatuan City (Capital)||Tel: (045) 600-5902|||||||
Nueva Ecija|Municipality of Cabiao||Tel: (044) 486-5490|||||||
Nueva Ecija|Municipality of Carranglan|||||||||
Nueva Ecija|Municipality of Cuyapo||Tel: (044) 608-1204|||||||
Nueva Ecija|Municipality of Gabaldo||Tel: 0920-967-2005|||||||
Nueva Ecija|City of Gapan||Tel: (044) 486-0512 ;(044) 486-554|||||||
Nueva Ecija|Municipality Gen. M. Natividad|||||||||
Nueva Ecija|Municipality of Gen. Tinio||Tel: (044) 958-3006 ; (044) 958-3011|||||||
Nueva Ecija|Municipality of Guimba||Tel: (044) 611-7950|||||||
Nueva Ecija|Municipality of Jaen||Tel: (044) 486-2615|||||||
Nueva Ecija|Municipality of Laur||Tel: 0920-908-4686||dausalvarobo@yahoo.com|||||
Nueva Ecija|Municipality of Licab||Tel: 0917-811-5978|||||||
Nueva Ecija|Municipality of Llanera||Tel: (044) 958-3043|||||||
Nueva Ecija|Municipality of Lupao|||||||||
